SampleID,Tissue,protocol,Group,read_type,Replicate,bamReads,Peaks,PeakCaller
WT_1,primary_kidney_cells,ATAC-seq,Native,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/WT_1/aligned_mm10/WT_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/WT_1/peak_calling_mm10/WT_1_peaks_normalized.narrowPeak,narrow
WT_2,primary_kidney_cells,ATAC-seq,Native,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/WT_2/aligned_mm10/WT_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/WT_2/peak_calling_mm10/WT_2_peaks_normalized.narrowPeak,narrow
Recruited_1,primary_kidney_cells,ATAC-seq,Recruited,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Recruited_1/aligned_mm10/Recruited_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Recruited_1/peak_calling_mm10/Recruited_1_peaks_normalized.narrowPeak,narrow
Recruited_2,primary_kidney_cells,ATAC-seq,Recruited,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Recruited_2/aligned_mm10/Recruited_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Recruited_2/peak_calling_mm10/Recruited_2_peaks_normalized.narrowPeak,narrow
ASKO_1,primary_kidney_cells,ATAC-seq,Recruited,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/ASKO_1/aligned_mm10/ASKO_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/ASKO_1/peak_calling_mm10/ASKO_1_peaks_normalized.narrowPeak,narrow
ASKO_2,primary_kidney_cells,ATAC-seq,Recruited,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/ASKO_2/aligned_mm10/ASKO_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/ASKO_2/peak_calling_mm10/ASKO_2_peaks_normalized.narrowPeak,narrow
Recruited_GFP,primary_kidney_cells,ATAC-seq,Recruited,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Recruited_GFP/aligned_mm10/Recruited_GFP_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Recruited_GFP/peak_calling_mm10/Recruited_GFP_peaks_normalized.narrowPeak,narrow
Ren1c--_Ren1c-YFP_1,primary_kidney_cells,ATAC-seq,Recruited,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c--_Ren1c-YFP_1/aligned_mm10/Ren1c--_Ren1c-YFP_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c--_Ren1c-YFP_1/peak_calling_mm10/Ren1c--_Ren1c-YFP_1_peaks_normalized.narrowPeak,narrow
Ren1c--_Ren1c-YFP_2,primary_kidney_cells,ATAC-seq,Recruited,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c--_Ren1c-YFP_2/aligned_mm10/Ren1c--_Ren1c-YFP_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c--_Ren1c-YFP_2/peak_calling_mm10/Ren1c--_Ren1c-YFP_2_peaks_normalized.narrowPeak,narrow
Ren1c-YFP_1,primary_kidney_cells,ATAC-seq,Native,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_1/aligned_mm10/Ren1c-YFP_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_1/peak_calling_mm10/Ren1c-YFP_1_peaks_normalized.narrowPeak,narrow
Ren1c-YFP_2,primary_kidney_cells,ATAC-seq,Native,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_2/aligned_mm10/Ren1c-YFP_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_2/peak_calling_mm10/Ren1c-YFP_2_peaks_normalized.narrowPeak,narrow
Ren1c-YFP_Low_Na+Cap_1,primary_kidney_cells,ATAC-seq,Recruited,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_Low_Na+Cap_1/aligned_mm10/Ren1c-YFP_Low_Na+Cap_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_Low_Na+Cap_1/peak_calling_mm10/Ren1c-YFP_Low_Na+Cap_1_peaks_normalized.narrowPeak,narrow
Ren1c-YFP_Low_Na+Cap_2,primary_kidney_cells,ATAC-seq,Recruited,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_Low_Na+Cap_2/aligned_mm10/Ren1c-YFP_Low_Na+Cap_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/variable/results_pipeline/Ren1c-YFP_Low_Na+Cap_2/peak_calling_mm10/Ren1c-YFP_Low_Na+Cap_2_peaks_normalized.narrowPeak,narrow
